"Search Parameters"	"Year"	"Mo"	"Dy"	"Country"	"Region"	"Location Name"	"Latitude"	"Longitude"	"Focal Depth (km)"	"Mag"	"MMI Int"	"Deaths"	"Death Description"	"Injuries"	"Injuries Description"	"Damage ($Mil)"	"Damage Description"
"[""1900 <= Year >= 2020"",""Region = Central America""]"																	
	2008	11	19	"PANAMA"	100	"PANAMA:  PASO CANOA, DAVID, PUERTO ARMUELLES"	8.267	-82.967	32	6.1							1
	2009	1	8	"COSTA RICA"	100	"COSTA RICA:  LA PAZ"	10.165	-84.197	14	6.1		23	1	100	2		3
	2009	3	31	"NICARAGUA"	100	"NICARAGUA:  SAN JUAN DEL RIO COCO"	13.452	-86.06	36	4.4							1
	2009	7	4	"PANAMA"	100	"PANAMA: PANAMA CITY"	9.59	-78.966	38	6	5			32	1		1
	2011	9	19	"GUATEMALA"	100	"GUATEMALA:  CUILAPA SANTA ROSA"	14.186	-90.238	9	5.6		1	1				1
	2011	11	24	"EL SALVADOR"	100	"EL SALVADOR-GUATEMALA"	13.297	-87.898	43	5.1							1
	2012	8	27	"NICARAGUA"	100	"NICARAGUA:  OFF THE COAST"	12.139	-88.59	28	7.3							
	2012	9	5	"COSTA RICA"	100	"COSTA RICA:  NICOYA"	10.085	-85.315	35	7.6		2	1	20	1		1
	2012	11	7	"GUATEMALA"	100	"GUATEMALA:  SAN MARCOS, SAN CRISTOBAL COCHU"	13.988	-91.895	24	7.3		48	2	155	3		3
	2013	4	10	"HONDURAS"	100	"HONDURAS: ATLANTIDA"	15.52	-87.159	4	5.4							1
	2013	9	7	"GUATEMALA"	100	"GUATEMALA:  COATEPEQUE, QUETZALTENANGO"	14.606	-92.121	66	6.4	7	1	1	11	1		1
	2014	4	10	"NICARAGUA"	100	"NICARAGUA:  NAGAROTE, MANAGUA"	12.403	-86.378	13	6.1		2	1	250	3	3	2
	2014	4	14	"NICARAGUA"	100	"NICARAGUA:  MANAGUA, CIUDAD SANDINO"	12.151	-86.281	10	5.2					1		1
	2014	10	14	"EL SALVADOR"	100	"EL SALVADOR:  GULF OF FONSECA"	12.526	-88.123	40	7.3	7	1	1				1
	2015	7	29	"PANAMA"	100	"COLOMBIA-PANAMA:  COLOMBIA:  UNGUIA"	8.231	-77.315	12	5.9	3			6	1		1
	2015	8	9	"EL SALVADOR"	100	"EL SALVADOR:  ALEGRIA"	13.668	-88.478	10	4.5	4			4	1		2
	2016	9	28	"NICARAGUA"	100	"NICARAGUA:  LEON"	12.442	-86.515	8	5.5	4	1	1	5	1		2
	2016	11	24	"NICARAGUA"	100	"NICARAGUA"	11.96	-88.835	33	6.9	5						
	2016	12	1	"COSTA RICA"	100	"COSTA RICA:  PARAISO, TURRIALBA"	9.949	-83.807	1	5.3	6						2
	2017	4	10	"EL SALVADOR"	100	"EL SALVADOR: SAN SALVADOR,SOYAPANGO"	13.766	-89.155	10	4.8		1	1	3	1		1
	2017	6	14	"GUATEMALA"	100	"GUATEMALA: QUETZALTENANGO, SUCHITEPEQUEZ; MEXICO"	14.909	-92.009	93	6.9	8	5	1	30	1		3
	2017	6	22	"GUATEMALA"	100	"GUATEMALA: ESCUINTLA, SUCHITEPEQUEZ, GUATEMALA"	13.717	-90.972	38	6.8	6			4	1		2
	2017	11	13	"COSTA RICA"	100	"COSTA RICA: JACO"	9.515	-84.487	19	6.5	8	2	1				
	2018	5	6	"EL SALVADOR"	100	"EL SALVADOR:  LA UNION, SAN MIGUEL"	13.095	-88.099	10	5.6				1	1		2
	2019	5	30	"EL SALVADOR"	100	"EL SALVADOR:  SAN SALVADOR"	13.199	-89.306	58	6.6		1	1	1	1		1
